name,category,requires
DVa - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|DVa|
Junker Queen - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Junker Queen|
Junker Queen - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Junker Queen|
Mauga - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Mauga|
Mauga - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Mauga|
Mauga - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Mauga|
Mauga - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Mauga|
Mauga - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Mauga|
Orisa - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Orisa|
Orisa - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Orisa|
Orisa - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Orisa|
Orisa - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Orisa|
Orisa - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Orisa|
Ramattra - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Ramattra|
Ramattra - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Ramattra|
Ramattra - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Ramattra|
Ramattra - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Ramattra|
Ramattra - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Ramattra|
Reinhardt - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Reinhardt|
Reinhardt - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Reinhardt|
Reinhardt - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Reinhardt|
Reinhardt - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Reinhardt|
Reinhardt - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Reinhardt|
Roadhog - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Roadhog|
Roadhog - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Roadhog|
Roadhog - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Roadhog|
Roadhog - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Roadhog|
Roadhog - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Roadhog|
Sigma - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Sigma|
Sigma - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Sigma|
Sigma - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Sigma|
Sigma - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Sigma|
Sigma - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Sigma|
Winston - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Winston|
Winston - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Winston|
Winston - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Winston|
Winston - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Winston|
Winston - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Winston|
Wrecking Ball - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Wrecking Ball|
Wrecking Ball - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Wrecking Ball|
Wrecking Ball - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Wrecking Ball|
Wrecking Ball - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Wrecking Ball|
Wrecking Ball - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Wrecking Ball|
Zarya - Get Eliminations (1),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Zarya|
Zarya - Get Eliminations (2),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Zarya|
Zarya - Get Eliminations (3),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Zarya|
Zarya - Get Eliminations (4),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Zarya|
Zarya - Get Eliminations (5),Hero Eliminations; Tank Heroes; Hero Eliminations - Tank Heroes,|Zarya|
Ashe - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Ashe|
Ashe - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Ashe|
Ashe - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Ashe|
Ashe - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Ashe|
Ashe - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Ashe|
Bastion - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Bastion|
Bastion - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Bastion|
Bastion - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Bastion|
Bastion - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Bastion|
Bastion - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Bastion|
Cassidy - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Cassidy|
Cassidy - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Cassidy|
Cassidy - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Cassidy|
Cassidy - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Cassidy|
Cassidy - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Cassidy|
Echo - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Echo|
Echo - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Echo|
Echo - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Echo|
Echo - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Echo|
Echo - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Echo|
Genji - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Genji|
Genji - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Genji|
Genji - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Genji|
Genji - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Genji|
Genji - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Genji|
Hanzo - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Hanzo|
Hanzo - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Hanzo|
Hanzo - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Hanzo|
Hanzo - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Hanzo|
Hanzo - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Hanzo|
Junkrat - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Junkrat|
Junkrat - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Junkrat|
Junkrat - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Junkrat|
Junkrat - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Junkrat|
Junkrat - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Junkrat|
Mei - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Mei|
Mei - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Mei|
Mei - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Mei|
Mei - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Mei|
Mei - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Mei|
Pharah - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Pharah|
Pharah - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Pharah|
Pharah - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Pharah|
Pharah - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Pharah|
Pharah - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Pharah|
Reaper - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Reaper|
Reaper - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Reaper|
Reaper - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Reaper|
Reaper - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Reaper|
Reaper - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Reaper|
Sojourn - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sojourn|
Sojourn - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sojourn|
Sojourn - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sojourn|
Sojourn - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sojourn|
Sojourn - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sojourn|
Soldier 76 - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Soldier 76|
Soldier 76 - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Soldier 76|
Soldier 76 - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Soldier 76|
Soldier 76 - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Soldier 76|
Soldier 76 - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Soldier 76|
Sombra - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sombra|
Sombra - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sombra|
Sombra - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sombra|
Sombra - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sombra|
Sombra - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Sombra|
Symmetra - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Symmetra|
Symmetra - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Symmetra|
Symmetra - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Symmetra|
Symmetra - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Symmetra|
Symmetra - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Symmetra|
Torbjorn - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Torbjorn|
Torbjorn - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Torbjorn|
Torbjorn - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Torbjorn|
Torbjorn - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Torbjorn|
Torbjorn - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Torbjorn|
Tracer - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Tracer|
Tracer - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Tracer|
Tracer - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Tracer|
Tracer - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Tracer|
Tracer - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Tracer|
Venture - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Venture|
Venture - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Venture|
Venture - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Venture|
Venture - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Venture|
Venture - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Venture|
Widowmaker - Get Eliminations (1),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Widowmaker|
Widowmaker - Get Eliminations (2),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Widowmaker|
Widowmaker - Get Eliminations (3),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Widowmaker|
Widowmaker - Get Eliminations (4),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Widowmaker|
Widowmaker - Get Eliminations (5),Hero Eliminations; Damage Heroes; Hero Eliminations - Damage Heroes,|Widowmaker|
Ana - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Ana|
Ana - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Ana|
Ana - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Ana|
Ana - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Ana|
Ana - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Ana|
Baptiste - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Baptiste|
Baptiste - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Baptiste|
Baptiste - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Baptiste|
Baptiste - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Baptiste|
Baptiste - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Baptiste|
Brigitte - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Brigitte|
Brigitte - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Brigitte|
Brigitte - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Brigitte|
Brigitte - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Brigitte|
Brigitte - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Brigitte|
Illari - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Illari|
Illari - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Illari|
Illari - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Illari|
Illari - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Illari|
Illari - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Illari|
Juno - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Juno|
Juno - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Juno|
Juno - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Juno|
Juno - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Juno|
Juno - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Juno|
Kiriko - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Kiriko|
Kiriko - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Kiriko|
Kiriko - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Kiriko|
Kiriko - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Kiriko|
Kiriko - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Kiriko|
Lifeweaver - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lifeweaver|
Lifeweaver - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lifeweaver|
Lifeweaver - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lifeweaver|
Lifeweaver - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lifeweaver|
Lifeweaver - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lifeweaver|
Lucio - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lucio|
Lucio - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lucio|
Lucio - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lucio|
Lucio - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lucio|
Lucio - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Lucio|
Mercy - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Mercy|
Mercy - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Mercy|
Mercy - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Mercy|
Mercy - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Mercy|
Mercy - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Mercy|
Moira - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Moira|
Moira - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Moira|
Moira - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Moira|
Moira - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Moira|
Moira - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Moira|
Zenyatta - Get Eliminations (1),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Zenyatta|
Zenyatta - Get Eliminations (2),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Zenyatta|
Zenyatta - Get Eliminations (3),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Zenyatta|
Zenyatta - Get Eliminations (4),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Zenyatta|
Zenyatta - Get Eliminations (5),Hero Eliminations; Support Heroes; Hero Eliminations - Support Heroes,|Zenyatta|
Win Control as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Escort as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Flashpoint as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Hybrid as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Push as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Clash as Tank Role,Win as Tank; Tank Heroes,|@Tank Heroes:1|
Win Control as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Escort as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Flashpoint as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Hybrid as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Push as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Clash as Damage Role,Win as Damage; Damage Heroes,|@Damage Heroes:1|
Win Control as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Win Escort as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Win Flashpoint as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Win Hybrid as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Win Push as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Win Clash as Support Role,Win as Support; Support Heroes,|@Support Heroes:1|
Solo Deathmatch - Check 1,Deathmatch Locations; Include Deathmatch,|Solo Deathmatch|
Solo Deathmatch - Check 2,Deathmatch Locations; Include Deathmatch,|Solo Deathmatch|
Solo Deathmatch - Check 3,Deathmatch Locations; Include Deathmatch,|Solo Deathmatch|
Solo Deathmatch - Check 4,Deathmatch Locations; Include Deathmatch,|Solo Deathmatch|
Solo Deathmatch - Check 5,Deathmatch Locations; Include Deathmatch,|Solo Deathmatch|
Team Deathmatch - Check 1,Deathmatch Locations; Include Deathmatch,|Team Deathmatch|
Team Deathmatch - Check 2,Deathmatch Locations; Include Deathmatch,|Team Deathmatch|
Team Deathmatch - Check 3,Deathmatch Locations; Include Deathmatch,|Team Deathmatch|
Team Deathmatch - Check 4,Deathmatch Locations; Include Deathmatch,|Team Deathmatch|
Team Deathmatch - Check 5,Deathmatch Locations; Include Deathmatch,|Team Deathmatch|
Hero Mastery - Brigitte - Recruit - Check 1,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(1)}|
Hero Mastery - Brigitte - Recruit - Check 2,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(1)}|
Hero Mastery - Brigitte - Recruit - Check 3,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(1)}|
Hero Mastery - Brigitte - Recruit - Check 4,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(1)}|
Hero Mastery - Brigitte - Recruit - Check 5,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(1)}|
Hero Mastery - Brigitte - Agent - Check 1,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(2)}|
Hero Mastery - Brigitte - Agent - Check 2,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(2)}|
Hero Mastery - Brigitte - Agent - Check 3,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(2)}|
Hero Mastery - Brigitte - Agent - Check 4,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(2)}|
Hero Mastery - Brigitte - Agent - Check 5,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(2)}|
Hero Mastery - Brigitte - Veteran - Check 1,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(3)}|
Hero Mastery - Brigitte - Veteran - Check 2,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(3)}|
Hero Mastery - Brigitte - Veteran - Check 3,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(3)}|
Hero Mastery - Brigitte - Veteran - Check 4,Hero Masteries,|Hero Mastery - Brigitte:{setHeroMasteryRequirement(3)}|
